 Taegu Pyungkwang River Catchment:  Calibration Data                             
 Starting Subcatchment     1
 Subcatchment : Extracted study basin: Taegu Pyungkwang River                                   
 TL =     5.45
SUMAC =     1.00
 SZQ   0.63446E+00
 SUBCATCHMENT ROUTING DATA
 Maximum Routing Delay   0.41667E+00
 Sum of histogram ordinates      1.0000
  0.10000E+01
 Initial Balance BAL -0.31784E+00
 Initial SBAR         0.31584E+00
 Initial SR0          0.20000E-02
   it       p        ep       q(it)       quz      q       sbar       qof
  164 0.000E+00 0.000E+00 0.926E-04 0.598E-06 0.926E-04 0.283E+00 0.000E+00
  165 0.000E+00 0.178E-04 0.924E-04 0.558E-06 0.924E-04 0.283E+00 0.000E+00
  166 0.000E+00 0.344E-04 0.921E-04 0.521E-06 0.921E-04 0.283E+00 0.000E+00
  167 0.000E+00 0.486E-04 0.919E-04 0.487E-06 0.919E-04 0.283E+00 0.000E+00
  168 0.000E+00 0.595E-04 0.916E-04 0.455E-06 0.916E-04 0.283E+00 0.000E+00
  169 0.000E+00 0.659E-04 0.913E-04 0.424E-06 0.913E-04 0.283E+00 0.000E+00
  170 0.000E+00 0.688E-04 0.911E-04 0.396E-06 0.911E-04 0.283E+00 0.000E+00
  171 0.000E+00 0.659E-04 0.908E-04 0.370E-06 0.908E-04 0.283E+00 0.000E+00
  172 0.000E+00 0.595E-04 0.906E-04 0.346E-06 0.906E-04 0.283E+00 0.000E+00
  173 0.000E+00 0.486E-04 0.903E-04 0.323E-06 0.903E-04 0.284E+00 0.000E+00
  174 0.000E+00 0.344E-04 0.900E-04 0.302E-06 0.900E-04 0.284E+00 0.000E+00
  175 0.000E+00 0.166E-04 0.898E-04 0.282E-06 0.898E-04 0.284E+00 0.000E+00
  176 0.000E+00 0.000E+00 0.895E-04 0.264E-06 0.895E-04 0.284E+00 0.000E+00
  177 0.000E+00 0.000E+00 0.893E-04 0.246E-06 0.893E-04 0.284E+00 0.000E+00
  178 0.000E+00 0.000E+00 0.890E-04 0.230E-06 0.890E-04 0.284E+00 0.000E+00
  179 0.000E+00 0.000E+00 0.888E-04 0.215E-06 0.888E-04 0.284E+00 0.000E+00
  180 0.000E+00 0.000E+00 0.886E-04 0.201E-06 0.886E-04 0.284E+00 0.000E+00
  181 0.000E+00 0.000E+00 0.883E-04 0.188E-06 0.883E-04 0.284E+00 0.000E+00
  182 0.000E+00 0.000E+00 0.881E-04 0.176E-06 0.881E-04 0.284E+00 0.000E+00
  183 0.000E+00 0.000E+00 0.878E-04 0.164E-06 0.878E-04 0.284E+00 0.000E+00
  184 0.000E+00 0.000E+00 0.876E-04 0.153E-06 0.876E-04 0.285E+00 0.000E+00
  185 0.000E+00 0.000E+00 0.873E-04 0.143E-06 0.873E-04 0.285E+00 0.000E+00
  186 0.000E+00 0.000E+00 0.871E-04 0.134E-06 0.871E-04 0.285E+00 0.000E+00
  187 0.000E+00 0.000E+00 0.869E-04 0.125E-06 0.869E-04 0.285E+00 0.000E+00
  188 0.000E+00 0.000E+00 0.866E-04 0.117E-06 0.866E-04 0.285E+00 0.000E+00
  189 0.000E+00 0.456E-04 0.864E-04 0.110E-06 0.864E-04 0.285E+00 0.000E+00
  190 0.500E-03 0.879E-04 0.862E-04 0.103E-06 0.862E-04 0.285E+00 0.000E+00
  191 0.000E+00 0.124E-03 0.859E-04 0.959E-07 0.859E-04 0.285E+00 0.000E+00
  192 0.000E+00 0.152E-03 0.857E-04 0.895E-07 0.857E-04 0.285E+00 0.000E+00
  193 0.000E+00 0.169E-03 0.855E-04 0.837E-07 0.855E-04 0.285E+00 0.000E+00
  194 0.000E+00 0.176E-03 0.853E-04 0.783E-07 0.853E-04 0.285E+00 0.000E+00
  195 0.000E+00 0.169E-03 0.850E-04 0.733E-07 0.850E-04 0.285E+00 0.000E+00
  196 0.000E+00 0.152E-03 0.848E-04 0.686E-07 0.848E-04 0.286E+00 0.000E+00
  197 0.000E+00 0.124E-03 0.846E-04 0.642E-07 0.846E-04 0.286E+00 0.000E+00
  198 0.000E+00 0.879E-04 0.844E-04 0.594E-07 0.844E-04 0.286E+00 0.000E+00
  199 0.000E+00 0.426E-04 0.841E-04 0.556E-07 0.841E-04 0.286E+00 0.000E+00
  200 0.000E+00 0.000E+00 0.839E-04 0.521E-07 0.839E-04 0.286E+00 0.000E+00
  201 0.000E+00 0.000E+00 0.837E-04 0.487E-07 0.837E-04 0.286E+00 0.000E+00
  202 0.000E+00 0.000E+00 0.835E-04 0.456E-07 0.835E-04 0.286E+00 0.000E+00
