;-----------------------------------------
;Rainfall input file for TopModel
;First line has n_steps and dt [hours]
;Other lines have Rainfall, ET, and Q_obs
;8 years of daily data.  Units are [m/h].
;-----------------------------------------
2921	24
3.00E-04	2.80E-03	5.81E-03
5.94E-03	3.04E-03	3.54E-03
3.05E-03	2.21E-03	2.83E-03
3.05E-02	2.35E-03	7.16E-03
3.86E-02	3.18E-03	1.79E-02
1.77E-02	3.36E-03	1.16E-02
3.00E-04	4.17E-03	6.99E-03
0	3.40E-03	5.06E-03
0	3.20E-03	3.71E-03
3.00E-03	3.38E-03	2.98E-03
4.20E-03	1.87E-03	2.56E-03
1.22E-02	3.15E-03	2.92E-03
8.49E-04	2.75E-03	2.22E-03
0	4.34E-03	1.84E-03
1.30E-03	2.51E-03	1.69E-03
1.39E-02	1.60E-03	2.19E-03
0	3.80E-03	1.76E-03
0	2.68E-03	1.49E-03
2.94E-03	3.22E-03	1.45E-03
9.48E-03	1.88E-03	1.59E-03
2.63E-04	3.64E-03	1.38E-03
0	4.74E-03	1.24E-03
3.00E-04	3.42E-03	1.08E-03
0	3.58E-03	9.91E-04
2.80E-03	4.11E-03	9.21E-04
4.47E-02	3.45E-03	7.83E-03
2.90E-04	2.06E-03	2.39E-03
3.95E-02	3.15E-03	1.15E-02
2.28E-02	2.38E-03	1.11E-02
1.48E-02	3.43E-03	9.01E-03
2.03E-03	3.26E-03	5.32E-03
1.54E-02	3.18E-03	5.23E-03
6.61E-03	3.87E-03	4.79E-03
2.46E-03	2.87E-03	3.86E-03
2.79E-03	1.43E-03	3.27E-03
1.66E-02	2.20E-03	4.15E-03
1.28E-02	2.45E-03	7.20E-03
1.11E-02	3.65E-03	5.78E-03
2.14E-02	3.10E-03	1.17E-02
1.80E-02	3.80E-03	8.38E-03
0	4.26E-03	5.39E-03
3.83E-02	2.59E-03	1.53E-02
1.87E-02	2.18E-03	1.80E-02
7.11E-03	2.59E-03	1.04E-02
8.21E-03	2.79E-03	7.64E-03
1.91E-03	4.13E-03	5.48E-03
7.71E-03	3.33E-03	4.68E-03
2.80E-04	3.61E-03	3.68E-03
0	4.35E-03	3.21E-03
2.74E-02	1.98E-03	7.70E-03
5.00E-04	3.80E-03	3.66E-03
1.17E-02	3.24E-03	4.73E-03
3.74E-02	1.14E-03	2.16E-02
1.15E-02	2.34E-03	8.18E-03
7.25E-03	1.13E-03	6.64E-03
2.56E-02	1.47E-03	9.78E-03
4.38E-02	1.24E-03	2.43E-02
4.59E-02	1.17E-03	3.17E-02
1.27E-02	2.65E-03	1.79E-02
0	2.22E-03	1.04E-02
2.70E-03	3.07E-03	7.33E-03
0	3.65E-03	5.50E-03
1.00E-04	3.34E-03	4.38E-03
1.62E-03	2.75E-03	3.64E-03
4.69E-03	2.19E-03	3.20E-03
3.89E-02	2.06E-03	1.25E-02
3.70E-02	1.71E-03	2.54E-02
5.96E-04	2.90E-03	8.12E-03
0	3.44E-03	5.32E-03
0	2.41E-03	4.19E-03
0	3.52E-03	3.47E-03
0	3.32E-03	2.95E-03
1.00E-04	1.23E-03	2.63E-03
2.50E-03	2.37E-03	2.38E-03
0	3.51E-03	2.06E-03
