Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: 1500

TL =     8.96
SUMAC =     1.00
SZQ =       0.01911
Subcatchment routing data:
Maximum Routing Delay       0.37679
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.20576
Initial SBAR             0.20376
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
190 5.0000e-04 8.7900e-05 8.2105e-05 4.7926e-09 8.2105e-05 1.7448e-01 0.0000e+00
191 0.0000e+00 1.2440e-04 8.1894e-05 4.4348e-09 8.1894e-05 1.7456e-01 0.0000e+00
192 0.0000e+00 1.5230e-04 8.1685e-05 4.1039e-09 8.1685e-05 1.7464e-01 0.0000e+00
193 0.0000e+00 1.6850e-04 8.1477e-05 3.7979e-09 8.1477e-05 1.7472e-01 0.0000e+00
194 0.0000e+00 1.7590e-04 8.1270e-05 3.5149e-09 8.1270e-05 1.7481e-01 0.0000e+00
195 0.0000e+00 1.6850e-04 8.1063e-05 3.2532e-09 8.1063e-05 1.7489e-01 0.0000e+00
196 0.0000e+00 1.5230e-04 8.0858e-05 3.0112e-09 8.0858e-05 1.7497e-01 0.0000e+00
197 0.0000e+00 1.2440e-04 8.0654e-05 2.0366e-09 8.0654e-05 1.7505e-01 0.0000e+00
198 0.0000e+00 8.7900e-05 8.0451e-05 1.8907e-09 8.0451e-05 1.7513e-01 0.0000e+00
199 0.0000e+00 4.2600e-05 8.0249e-05 1.7554e-09 8.0249e-05 1.7521e-01 0.0000e+00
200 0.0000e+00 0.0000e+00 8.0048e-05 1.6298e-09 8.0048e-05 1.7529e-01 0.0000e+00
201 0.0000e+00 0.0000e+00 7.9848e-05 1.5132e-09 7.9848e-05 1.7537e-01 0.0000e+00
202 0.0000e+00 0.0000e+00 7.9649e-05 1.4050e-09 7.9649e-05 1.7545e-01 0.0000e+00
203 0.0000e+00 0.0000e+00 7.9451e-05 1.3047e-09 7.9451e-05 1.7553e-01 0.0000e+00
204 0.0000e+00 0.0000e+00 7.9254e-05 1.2115e-09 7.9254e-05 1.7561e-01 0.0000e+00
205 0.0000e+00 0.0000e+00 7.9058e-05 1.1250e-09 7.9058e-05 1.7569e-01 0.0000e+00
206 0.0000e+00 0.0000e+00 7.8863e-05 1.0448e-09 7.8863e-05 1.7577e-01 0.0000e+00
207 0.0000e+00 0.0000e+00 7.8669e-05 9.7025e-10 7.8669e-05 1.7584e-01 0.0000e+00
208 0.0000e+00 0.0000e+00 7.8476e-05 9.0110e-10 7.8476e-05 1.7592e-01 0.0000e+00
209 0.0000e+00 0.0000e+00 7.8284e-05 8.3691e-10 7.8284e-05 1.7600e-01 0.0000e+00
210 0.0000e+00 0.0000e+00 7.8092e-05 7.7732e-10 7.8092e-05 1.7608e-01 0.0000e+00
211 0.0000e+00 0.0000e+00 7.7902e-05 3.5978e-10 7.7902e-05 1.7616e-01 0.0000e+00
212 0.0000e+00 0.0000e+00 7.7713e-05 3.3539e-10 7.7713e-05 1.7623e-01 0.0000e+00
213 0.0000e+00 4.9000e-05 7.7524e-05 3.1266e-10 7.7524e-05 1.7631e-01 0.0000e+00
214 0.0000e+00 9.4600e-05 7.7337e-05 2.9147e-10 7.7337e-05 1.7639e-01 0.0000e+00
215 0.0000e+00 1.3380e-04 7.7150e-05 2.7173e-10 7.7150e-05 1.7647e-01 0.0000e+00
216 0.0000e+00 1.6380e-04 7.6964e-05 2.5333e-10 7.6964e-05 1.7654e-01 0.0000e+00
217 0.0000e+00 1.8130e-04 7.6779e-05 2.3619e-10 7.6779e-05 1.7662e-01 0.0000e+00
218 0.0000e+00 1.8920e-04 7.6595e-05 2.2021e-10 7.6595e-05 1.7670e-01 0.0000e+00
219 0.0000e+00 1.8130e-04 7.6412e-05 2.0531e-10 7.6412e-05 1.7677e-01 0.0000e+00
220 0.0000e+00 1.6380e-04 7.6230e-05 1.9143e-10 7.6230e-05 1.7685e-01 0.0000e+00
