Taegu Pyungkwang River Catchment: Calibration Data

Starting Subcatchment 1
Subcatchment : Extracted study basin: Taegu Pyungkwang River

TL =     5.45
SUMAC =     1.00
SZQ =       0.63446
Subcatchment routing data:
Maximum Routing Delay       0.41667
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial Balance BAL     -0.31784
Initial SBAR             0.31584
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
127 0.0000e+00 9.6000e-06 1.0342e-04 8.0047e-06 1.0342e-04 2.7919e-01 0.0000e+00
128 0.0000e+00 0.0000e+00 1.0311e-04 7.4520e-06 1.0311e-04 2.7929e-01 0.0000e+00
129 0.0000e+00 0.0000e+00 1.0280e-04 6.9380e-06 1.0280e-04 2.7938e-01 0.0000e+00
130 0.0000e+00 0.0000e+00 1.0249e-04 6.4600e-06 1.0249e-04 2.7948e-01 0.0000e+00
131 0.0000e+00 0.0000e+00 1.0219e-04 6.0154e-06 1.0219e-04 2.7958e-01 0.0000e+00
132 0.0000e+00 0.0000e+00 1.0188e-04 5.6019e-06 1.0188e-04 2.7967e-01 0.0000e+00
133 0.0000e+00 0.0000e+00 1.0157e-04 5.2172e-06 1.0157e-04 2.7977e-01 0.0000e+00
134 0.0000e+00 0.0000e+00 1.0127e-04 4.8594e-06 1.0127e-04 2.7987e-01 0.0000e+00
135 0.0000e+00 0.0000e+00 1.0096e-04 4.5264e-06 1.0096e-04 2.7996e-01 0.0000e+00
136 0.0000e+00 0.0000e+00 1.0066e-04 4.2166e-06 1.0066e-04 2.8006e-01 0.0000e+00
137 0.0000e+00 0.0000e+00 1.0036e-04 3.9283e-06 1.0036e-04 2.8015e-01 0.0000e+00
138 0.0000e+00 0.0000e+00 1.0005e-04 3.6601e-06 1.0005e-04 2.8025e-01 0.0000e+00
139 0.0000e+00 0.0000e+00 9.9753e-05 3.4104e-06 9.9753e-05 2.8035e-01 0.0000e+00
140 0.0000e+00 0.0000e+00 9.9453e-05 3.1780e-06 9.9453e-05 2.8044e-01 0.0000e+00
141 5.0000e-04 4.1400e-05 9.9154e-05 2.9617e-06 9.9154e-05 2.8054e-01 0.0000e+00
142 0.0000e+00 7.9900e-05 9.8857e-05 2.7603e-06 9.8857e-05 2.8064e-01 0.0000e+00
143 0.0000e+00 1.1300e-04 9.8560e-05 2.5728e-06 9.8560e-05 2.8073e-01 0.0000e+00
144 0.0000e+00 1.3840e-04 9.8265e-05 2.3983e-06 9.8265e-05 2.8083e-01 0.0000e+00
145 0.0000e+00 1.5310e-04 9.7971e-05 2.2357e-06 9.7971e-05 2.8092e-01 0.0000e+00
